#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV
49,Lido DAO LDO,$1.11,-0.1%,3.9%,-0.8%,"$23,769,247","$856,937,569","$1,113,855,010",0.77
50,The Sandbox SAND,$0.549947,0.1%,1.8%,-7.3%,"$146,752,872","$855,961,101","$1,649,614,050",0.52
51,TrueUSD TUSD,$1.00,0.1%,0.1%,-0.0%,"$51,571,444","$852,991,665",?,?
52,Theta Network THETA,$0.845563,-0.2%,1.5%,-5.9%,"$22,008,224","$845,682,016","$845,682,016",1.00
53,Aave AAVE,$56.34,-0.3%,1.5%,-4.5%,"$256,288,304","$800,069,264","$902,913,265",0.89
55,Axie Infinity AXS,$6.77,1.9%,7.3%,-7.6%,"$78,294,977","$737,210,016","$1,824,521,574",0.40
54,Bitcoin SV BSV,$38.23,-0.2%,2.8%,-4.6%,"$11,373,991","$735,871,061","$803,530,412",0.92
56,USDD USDD,$0.997132,0.1%,0.6%,1.2%,"$76,268,272","$723,356,255",?,?
57,Decentraland MANA,$0.379706,0.0%,3.2%,-14.2%,"$98,252,642","$689,473,349","$832,881,578",0.83
58,cUSDC CUSDC,$0.022735537934,-0.0%,0.2%,0.2%,$11.29,"$676,357,499",?,?
59,KuCoin KCS,$6.57,0.4%,-0.5%,-14.2%,"$1,737,032","$640,460,058",?,?
60,Huobi HT,$4.85,-0.2%,-0.7%,-0.4%,"$15,873,175","$636,173,249","$2,428,295,945",0.26
61,BitTorrent BTT,$0.000000648499,0.0%,0.6%,-5.1%,"$18,203,924","$613,470,674","$642,461,845",0.95
62,Gemini Dollar GUSD,$1.00,0.0%,0.3%,0.2%,"$16,744,546","$610,987,399",?,?
63,WhiteBIT Token WBT,$4.92,0.2%,-3.3%,-10.5%,"$6,763,846","$593,880,588","$1,966,475,880",0.30
64,IOTA MIOTA,$0.212249,0.6%,-3.7%,-3.2%,"$17,749,782","$589,624,967",?,?
65,Maker MKR,$650.24,-0.4%,3.4%,-6.7%,"$23,057,125","$585,529,293","$653,264,883",0.90
66,eCash XEC,$0.000028790065,-0.3%,0.8%,-2.3%,"$6,683,829","$554,300,118","$605,237,766",0.92
67,Aptos APT,$4.24,-0.1%,5.3%,1.2%,"$104,143,140","$550,873,703","$4,241,455,352",0.13
68,Tokenize Xchange TKX,$6.85,0.3%,2.1%,-25.9%,"$13,991,331","$548,771,502","$685,998,678",0.80
69,PancakeSwap CAKE,$3.71,0.2%,1.6%,-6.3%,"$26,788,736","$541,139,782","$2,784,933,387",0.19
70,Zcash ZEC,$39.21,0.4%,3.3%,-3.2%,"$71,762,373","$509,959,251","$823,078,411",0.62
71,Gate GT,$3.45,-0.2%,-0.1%,-5.9%,"$2,235,636","$502,157,328",?,?
72,Osmosis OSMO,$1.03,0.6%,1.1%,-10.4%,"$15,058,048","$498,581,588","$1,027,013,373",0.49
73,Klaytn KLAY,$0.162527,-0.2%,0.6%,-9.4%,"$24,669,409","$490,931,252",?,?
74,BTSE Token BTSE,$3.01,-0.4%,0.4%,-17.0%,"$954,156","$487,975,005","$602,209,657",0.81
75,PAX Gold PAXG,"$1,739.42",0.2%,-0.6%,-0.7%,"$18,582,938","$477,161,708",?,?
76,NEO NEO,$6.57,-0.2%,1.9%,-2.3%,"$22,186,327","$463,131,859",?,?
77,Arweave AR,$9.10,-0.3%,0.8%,0.8%,"$38,499,386","$455,833,040","$600,396,728",0.76
78,Fantom FTM,$0.173442,-0.1%,2.6%,-4.5%,"$58,004,950","$440,748,801","$550,686,082",0.80
79,cETH CETH,$22.63,0.6%,2.0%,-8.1%,$10.38,"$427,166,150","$427,166,150",1.00
80,Tether Gold XAUT,"$1,707.58",-0.0%,-0.3%,0.1%,"$580,960","$421,111,297",?,?
81,The Graph GRT,$0.054770707349,0.0%,1.6%,-14.3%,"$22,232,357","$405,511,383","$547,968,128",0.74
82,BinaryX BNX,$152.61,-1.9%,-2.9%,3.6%,"$14,221,795","$402,636,690","$3,205,506,820",0.13
83,Dash DASH,$36.46,-0.1%,5.8%,5.8%,"$64,721,647","$400,849,726",?,?
85,Synthetix Network SNX,$1.66,0.0%,5.2%,-8.6%,"$20,897,698","$399,256,379","$510,081,126",0.78
84,Mina Protocol MINA,$0.531913,-0.7%,2.5%,-0.1%,"$22,384,387","$398,688,153","$519,889,174",0.77
86,cDAI CDAI,$0.022164538458,0.0%,0.1%,-0.0%,$918.22,"$395,036,345",?,?
87,NEXO NEXO,$0.678951,0.4%,2.5%,-5.5%,"$5,284,363","$380,268,768","$679,051,360",0.56
88,Curve DAO CRV,$0.596749,-8.7%,22.7%,-2.0%,"$924,966,845","$377,914,640","$1,962,410,966",0.19
89,Radix XRD,$0.037021740815,-0.9%,-10.3%,-28.4%,"$1,467,946","$371,962,117","$889,475,966",0.42
90,EthereumPoW ETHW,$3.36,-0.5%,-3.1%,-10.9%,"$29,667,332","$360,831,739","$360,830,871",1.00
91,Evmos EVMOS,$0.957699,0.1%,1.2%,-18.6%,"$1,659,684","$340,498,309","$959,427,884",0.35
92,THORChain RUNE,$1.11,0.2%,0.0%,-6.6%,"$39,135,909","$335,155,060","$557,290,380",0.60
93,Basic Attention BAT,$0.222608,-0.0%,1.1%,-1.5%,"$24,696,158","$333,472,336","$334,087,843",1.00
95,XDC Network XDC,$0.023934885197,0.0%,1.3%,-4.2%,"$2,824,727","$330,160,734",?,?
94,GMX GMX,$39.94,-0.3%,-5.6%,-5.6%,"$36,539,717","$329,452,973","$529,324,365",0.62
96,1inch 1INCH,$0.531001,0.0%,6.0%,2.8%,"$33,372,136","$326,508,634","$796,916,134",0.41
97,Zilliqa ZIL,$0.021517135556,0.1%,2.2%,1.6%,"$30,292,897","$325,136,580","$452,031,056",0.72
98,Helium HNT,$2.36,1.2%,11.0%,-6.8%,"$3,885,449","$314,816,109","$526,591,932",0.60
99,Ethereum Name Service ENS,$12.14,-0.1%,3.0%,-6.1%,"$38,404,393","$312,744,940","$1,212,977,970",0.26
100,Frax Share FXS,$4.29,0.3%,-0.7%,-9.9%,"$1,898,215","$307,537,620","$427,802,588",0.72
1,Bitcoin BTC,"$16,157.24",0.1%,1.0%,-2.9%,"$28,942,289,789","$310,305,891,723","$339,142,606,136",0.91
2,Ethereum ETH,"$1,128.69",0.4%,2.2%,-9.1%,"$10,240,438,329","$135,860,460,013","$135,860,460,013",1.00
3,Tether USDT,$1.00,0.0%,-0.2%,0.1%,"$41,059,491,258","$65,578,869,282","$65,578,869,282",1.00
4,USD Coin USDC,$1.00,0.1%,0.4%,0.2%,"$3,709,114,668","$44,385,523,086","$44,384,012,656",1.00
5,BNB BNB,$263.22,-0.1%,3.3%,-5.5%,"$872,185,216","$42,987,905,796","$52,656,421,267",0.82
6,Binance USD BUSD,$1.00,-0.2%,0.0%,0.0%,"$9,952,276,730","$22,810,882,754","$22,810,882,754",1.00
7,XRP XRP,$0.375400,0.2%,4.6%,-0.6%,"$1,655,393,740","$18,865,825,037","$37,507,553,272",0.50
8,Cardano ADA,$0.311305,0.3%,2.5%,-6.4%,"$372,108,285","$10,905,734,575","$14,003,645,717",0.78
9,Dogecoin DOGE,$0.077698637118,0.0%,5.3%,-10.4%,"$825,274,506","$10,654,100,287",?,?
10,Polygon MATIC,$0.843661,-0.4%,7.2%,-8.0%,"$849,897,022","$7,495,738,695","$8,451,863,638",0.89
11,Polkadot DOT,$5.24,-0.1%,1.3%,-10.7%,"$277,099,106","$6,146,428,272","$6,570,185,804",0.94
12,Dai DAI,$1.00,-0.1%,-0.1%,0.0%,"$333,504,407","$5,392,382,951","$5,392,382,951",1.00
13,Lido Staked Ether STETH,"$1,109.15",0.4%,2.0%,-9.8%,"$20,172,158","$5,277,670,902","$5,277,670,902",1.00
14,Shiba Inu SHIB,$0.000008671151,0.0%,2.3%,-4.6%,"$201,852,889","$5,110,952,650",?,?
15,OKB OKB,$20.20,0.3%,1.6%,7.3%,"$15,390,572","$5,084,316,717",?,?
16,Litecoin LTC,$69.01,-0.2%,12.1%,21.9%,"$1,163,837,899","$4,946,027,074","$5,796,983,077",0.85
17,TRON TRX,$0.050363744927,0.1%,-1.3%,0.4%,"$738,580,343","$4,640,672,069","$4,640,673,869",1.00
18,Solana SOL,$11.84,0.1%,1.0%,-16.0%,"$522,554,631","$4,295,660,264","$6,325,975,176",0.68
19,Uniswap UNI,$5.25,-1.2%,0.9%,-13.6%,"$165,866,782","$3,960,463,676","$5,254,230,319",0.75
20,Wrapped Bitcoin WBTC,"$16,112.58",0.2%,1.3%,-3.0%,"$241,282,599","$3,764,859,800","$3,764,859,800",1.00
21,Avalanche AVAX,$12.20,-0.1%,2.9%,-7.0%,"$211,253,217","$3,666,549,939","$8,781,006,125",0.42
22,LEO Token LEO,$3.82,-0.1%,-2.1%,1.1%,"$1,852,392","$3,568,414,564",?,?
23,Chainlink LINK,$6.36,0.3%,11.6%,1.3%,"$554,814,034","$3,127,657,566","$6,362,200,467",0.49
24,Cosmos Hub ATOM,$9.33,0.3%,3.7%,-9.6%,"$166,624,356","$2,730,941,871",?,?
25,The Open Network TON,$1.73,0.5%,0.0%,3.3%,"$5,801,486","$2,545,385,839","$8,735,759,108",0.29
26,Ethereum Classic ETC,$18.35,-0.1%,4.0%,-10.6%,"$191,407,481","$2,533,044,292","$3,867,793,649",0.65
27,Monero XMR,$130.65,0.3%,1.5%,0.6%,"$98,239,358","$2,371,151,878",?,?
28,Stellar XLM,$0.086815131814,-0.1%,2.3%,-4.9%,"$67,309,602","$2,231,578,284","$4,342,430,565",0.51
29,Bitcoin Cash BCH,$107.69,0.2%,5.2%,4.1%,"$538,351,570","$2,066,621,852","$2,256,091,958",0.92
30,Algorand ALGO,$0.240703,0.3%,-2.3%,-8.4%,"$169,665,827","$1,712,286,987","$2,408,094,898",0.71
31,Cronos CRO,$0.064440904901,-0.0%,-1.0%,-8.1%,"$30,232,799","$1,627,653,066",?,?
32,Quant QNT,$106.29,0.3%,2.6%,-3.3%,"$61,223,278","$1,545,407,752","$1,552,665,275",1.00
33,Filecoin FIL,$4.29,-0.4%,4.0%,-0.8%,"$107,518,129","$1,391,509,887","$8,440,385,256",0.16
34,NEAR Protocol NEAR,$1.61,-0.4%,9.2%,-18.0%,"$214,747,173","$1,336,194,728","$1,611,269,947",0.83
35,VeChain VET,$0.018011950900,0.1%,0.3%,-6.0%,"$44,604,914","$1,305,717,082","$1,561,445,015",0.84
36,Frax FRAX,$1.00,0.4%,0.1%,0.5%,"$16,574,223","$1,178,353,027","$1,178,353,027",1.00
37,Flow FLOW,$1.14,0.1%,1.1%,-6.4%,"$29,451,892","$1,177,378,693","$1,554,492,069",0.76
38,ApeCoin APE,$3.22,-0.1%,2.6%,7.8%,"$241,200,574","$1,163,777,619","$3,221,529,740",0.36
39,Hedera HBAR,$0.046334654417,-0.1%,0.9%,-2.1%,"$24,560,477","$1,141,337,367","$2,317,231,319",0.49
40,Internet Computer ICP,$3.70,0.1%,2.1%,-5.7%,"$36,679,523","$1,015,565,830","$1,737,854,041",0.58
41,Chiliz CHZ,$0.181544,0.8%,-3.2%,-9.2%,"$671,694,475","$970,272,702","$1,613,873,880",0.60
42,MultiversX (Elrond) EGLD,$40.72,0.5%,-0.4%,-7.8%,"$33,548,993","$969,419,454","$1,276,751,697",0.76
43,Terra Luna Classic LUNC,$0.000158894904,0.8%,4.5%,-8.6%,"$112,202,140","$951,225,149","$1,092,974,423",0.87
44,EOS EOS,$0.873698,0.0%,2.9%,-4.5%,"$117,716,349","$947,764,388",?,?
45,Trust Wallet TWT,$2.25,0.8%,12.1%,-1.3%,"$147,929,173","$935,535,282",?,?
46,Pax Dollar USDP,$1.00,-0.1%,0.1%,0.0%,"$5,702,820","$924,216,682",?,?
47,Chain XCN,$0.042811322489,0.3%,-2.1%,-14.1%,"$8,879,399","$919,707,055","$2,289,134,526",0.40
48,Tezos XTZ,$0.960457,0.2%,0.7%,-5.5%,"$32,652,815","$870,762,035",?,?
49,Lido DAO LDO,$1.11,-0.1%,3.9%,-0.8%,"$23,769,247","$856,937,569","$1,113,855,010",0.77
50,The Sandbox SAND,$0.549947,0.1%,1.8%,-7.3%,"$146,752,872","$855,961,101","$1,649,614,050",0.52
51,TrueUSD TUSD,$1.00,0.1%,0.1%,-0.0%,"$51,571,444","$852,991,665",?,?
52,Theta Network THETA,$0.845563,-0.2%,1.5%,-5.9%,"$22,008,224","$845,682,016","$845,682,016",1.00
53,Aave AAVE,$56.34,-0.3%,1.5%,-4.5%,"$256,288,304","$800,069,264","$902,913,265",0.89
55,Axie Infinity AXS,$6.77,1.9%,7.3%,-7.6%,"$78,294,977","$737,210,016","$1,824,521,574",0.40
54,Bitcoin SV BSV,$38.23,-0.2%,2.8%,-4.6%,"$11,373,991","$735,871,061","$803,530,412",0.92
56,USDD USDD,$0.997132,0.1%,0.6%,1.2%,"$76,268,272","$723,356,255",?,?
57,Decentraland MANA,$0.379706,0.0%,3.2%,-14.2%,"$98,252,642","$689,473,349","$832,881,578",0.83
58,cUSDC CUSDC,$0.022735537934,-0.0%,0.2%,0.2%,$11.29,"$676,357,499",?,?
59,KuCoin KCS,$6.57,0.4%,-0.5%,-14.2%,"$1,737,032","$640,460,058",?,?
60,Huobi HT,$4.85,-0.2%,-0.7%,-0.4%,"$15,873,175","$636,173,249","$2,428,295,945",0.26
61,BitTorrent BTT,$0.000000648499,0.0%,0.6%,-5.1%,"$18,203,924","$613,470,674","$642,461,845",0.95
62,Gemini Dollar GUSD,$1.00,0.0%,0.3%,0.2%,"$16,744,546","$610,987,399",?,?
63,WhiteBIT Token WBT,$4.92,0.2%,-3.3%,-10.5%,"$6,763,846","$593,880,588","$1,966,475,880",0.30
64,IOTA MIOTA,$0.212249,0.6%,-3.7%,-3.2%,"$17,749,782","$589,624,967",?,?
65,Maker MKR,$650.24,-0.4%,3.4%,-6.7%,"$23,057,125","$585,529,293","$653,264,883",0.90
66,eCash XEC,$0.000028790065,-0.3%,0.8%,-2.3%,"$6,683,829","$554,300,118","$605,237,766",0.92
67,Aptos APT,$4.24,-0.1%,5.3%,1.2%,"$104,143,140","$550,873,703","$4,241,455,352",0.13
68,Tokenize Xchange TKX,$6.85,0.3%,2.1%,-25.9%,"$13,991,331","$548,771,502","$685,998,678",0.80
69,PancakeSwap CAKE,$3.71,0.2%,1.6%,-6.3%,"$26,788,736","$541,139,782","$2,784,933,387",0.19
70,Zcash ZEC,$39.21,0.4%,3.3%,-3.2%,"$71,762,373","$509,959,251","$823,078,411",0.62
71,Gate GT,$3.45,-0.2%,-0.1%,-5.9%,"$2,235,636","$502,157,328",?,?
72,Osmosis OSMO,$1.03,0.6%,1.1%,-10.4%,"$15,058,048","$498,581,588","$1,027,013,373",0.49
73,Klaytn KLAY,$0.162527,-0.2%,0.6%,-9.4%,"$24,669,409","$490,931,252",?,?
74,BTSE Token BTSE,$3.01,-0.4%,0.4%,-17.0%,"$954,156","$487,975,005","$602,209,657",0.81
75,PAX Gold PAXG,"$1,739.42",0.2%,-0.6%,-0.7%,"$18,582,938","$477,161,708",?,?
76,NEO NEO,$6.57,-0.2%,1.9%,-2.3%,"$22,186,327","$463,131,859",?,?
77,Arweave AR,$9.10,-0.3%,0.8%,0.8%,"$38,499,386","$455,833,040","$600,396,728",0.76
78,Fantom FTM,$0.173442,-0.1%,2.6%,-4.5%,"$58,004,950","$440,748,801","$550,686,082",0.80
79,cETH CETH,$22.63,0.6%,2.0%,-8.1%,$10.38,"$427,166,150","$427,166,150",1.00
80,Tether Gold XAUT,"$1,707.58",-0.0%,-0.3%,0.1%,"$580,960","$421,111,297",?,?
81,The Graph GRT,$0.054770707349,0.0%,1.6%,-14.3%,"$22,232,357","$405,511,383","$547,968,128",0.74
82,BinaryX BNX,$152.61,-1.9%,-2.9%,3.6%,"$14,221,795","$402,636,690","$3,205,506,820",0.13
83,Dash DASH,$36.46,-0.1%,5.8%,5.8%,"$64,721,647","$400,849,726",?,?
85,Synthetix Network SNX,$1.66,0.0%,5.2%,-8.6%,"$20,897,698","$399,256,379","$510,081,126",0.78
84,Mina Protocol MINA,$0.531913,-0.7%,2.5%,-0.1%,"$22,384,387","$398,688,153","$519,889,174",0.77
86,cDAI CDAI,$0.022164538458,0.0%,0.1%,-0.0%,$918.22,"$395,036,345",?,?
87,NEXO NEXO,$0.678951,0.4%,2.5%,-5.5%,"$5,284,363","$380,268,768","$679,051,360",0.56
88,Curve DAO CRV,$0.596749,-8.7%,22.7%,-2.0%,"$924,966,845","$377,914,640","$1,962,410,966",0.19
89,Radix XRD,$0.037021740815,-0.9%,-10.3%,-28.4%,"$1,467,946","$371,962,117","$889,475,966",0.42
90,EthereumPoW ETHW,$3.36,-0.5%,-3.1%,-10.9%,"$29,667,332","$360,831,739","$360,830,871",1.00
91,Evmos EVMOS,$0.957699,0.1%,1.2%,-18.6%,"$1,659,684","$340,498,309","$959,427,884",0.35
92,THORChain RUNE,$1.11,0.2%,0.0%,-6.6%,"$39,135,909","$335,155,060","$557,290,380",0.60
93,Basic Attention BAT,$0.222608,-0.0%,1.1%,-1.5%,"$24,696,158","$333,472,336","$334,087,843",1.00
95,XDC Network XDC,$0.023934885197,0.0%,1.3%,-4.2%,"$2,824,727","$330,160,734",?,?
94,GMX GMX,$39.94,-0.3%,-5.6%,-5.6%,"$36,539,717","$329,452,973","$529,324,365",0.62
96,1inch 1INCH,$0.531001,0.0%,6.0%,2.8%,"$33,372,136","$326,508,634","$796,916,134",0.41
97,Zilliqa ZIL,$0.021517135556,0.1%,2.2%,1.6%,"$30,292,897","$325,136,580","$452,031,056",0.72
98,Helium HNT,$2.36,1.2%,11.0%,-6.8%,"$3,885,449","$314,816,109","$526,591,932",0.60
99,Ethereum Name Service ENS,$12.14,-0.1%,3.0%,-6.1%,"$38,404,393","$312,744,940","$1,212,977,970",0.26
100,Frax Share FXS,$4.29,0.3%,-0.7%,-9.9%,"$1,898,215","$307,537,620","$427,802,588",0.72
